Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Latitude,Longitude
Vinayakanagar,564655,559717,461557,280715,275406,173474,0.991,0.825,0.608,0.981,101845,0.37,0.307,"₹2,32,02,000",7.48,₹133.85,1292724,12.9645584,77.7541058
J P Nagar,526581,522247,423506,272513,266903,172802,0.992,0.811,0.643,0.979,93999,0.352,0.328,"₹2,14,53,148",6.45,₹116.66,1186151,12.9096941,77.5866067
Whitefield,838663,831606,684364,286103,281317,170977,0.992,0.823,0.418,0.983,110293,0.392,0.204,"₹2,92,80,129",8.52,₹151.14,1679399,53.5533682,-2.2969019
Munnekollala,993367,983688,831207,302856,297146,166505,0.99,0.845,0.364,0.981,130590,0.44,0.168,"₹2,95,76,393",9.04,₹159.13,1687327,,
Ejipura,595161,589132,496076,273619,268768,163779,0.99,0.842,0.552,0.982,104902,0.39,0.275,"₹2,10,92,572",6.47,₹122.29,1148191,12.945245,77.6269144
Jeevanbhima Nagar,658033,652625,563304,269919,264220,160433,0.992,0.863,0.479,0.979,103743,0.393,0.244,"₹2,43,69,066",8.39,₹149.77,1367391,12.96503885,77.6510736379277
Kempapura,467690,464839,360926,240038,235067,150852,0.994,0.776,0.665,0.979,84173,0.358,0.323,"₹2,28,86,452",8.28,₹145.63,1322285,13.1589069,77.28847983452434
HSR - Singasandra,633334,627352,520343,255679,250108,145339,0.991,0.829,0.491,0.978,104704,0.419,0.229,"₹2,14,87,915",7.91,₹141.29,1209859,,
Shakambari Nagar,404779,401530,310798,215522,211098,143850,0.992,0.774,0.693,0.979,67203,0.318,0.355,"₹1,68,47,054",6.29,₹114.15,935402,12.9135785,77.5759435
New Thippasandra,514162,509398,430195,216416,212511,141334,0.991,0.845,0.503,0.982,71126,0.335,0.275,"₹2,03,34,402",7.57,₹135.66,1138133,12.9736956,77.6536931
Hudi,624101,619409,505072,241433,237996,139066,0.993,0.815,0.478,0.986,98878,0.415,0.223,"₹2,40,67,402",8.59,₹152.37,1376861,25.018415,117.558902
Ulsoor,591305,586928,509987,234286,231034,137688,0.993,0.869,0.459,0.986,93291,0.404,0.233,"₹1,94,96,628",7.28,₹132.34,1087433,12.9778793,77.6246697
Horamavu,474215,471298,373096,217363,213193,134402,0.994,0.792,0.583,0.981,78766,0.37,0.283,"₹2,14,19,228",8.54,₹149.94,1243702,13.0273312,77.6601508
C V Raman Nagar,553745,549626,443121,223614,220398,133108,0.993,0.806,0.505,0.986,87237,0.396,0.24,"₹1,89,27,535",7.35,₹132.29,1061714,12.9856478,77.6649767
BTM Layout,592216,586375,486876,231084,225865,131673,0.99,0.83,0.475,0.977,94148,0.417,0.222,"₹1,71,59,245",6.85,₹126.39,944612,12.9151772,77.6102821
